               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11171,            0.061047,            0.056605,          0.00076533,            0.076769,          0.00063607,           0.0001228,            0.092094,            0.077298,            0.054618,            0.000105,            0.000105,            0.089605
                   1,             0.10255,            0.070977,            0.054522,          0.00082154,            0.037277,          0.00046838,          9.6807e-05,            0.094493,            0.074239,            0.053246,          0.00021098,          0.00021098,            0.079111
                   2,             0.09925,            0.075955,            0.053107,          0.00041627,            0.020726,          0.00023236,          4.8554e-05,            0.092163,             0.07565,            0.052162,          0.00031689,          0.00031689,            0.068617
                   3,            0.095491,            0.074672,            0.052432,           0.0012131,             0.04388,          0.00068109,          0.00014322,            0.088563,             0.07577,            0.051427,          0.00042267,          0.00042267,            0.058123
                   4,            0.090818,            0.069762,            0.052108,             0.04177,             0.10748,            0.026645,           0.0055113,            0.085498,            0.063513,            0.051314,          0.00052826,          0.00052826,            0.047628
                   5,            0.081319,            0.058561,            0.051638,             0.10295,             0.30355,             0.09413,            0.021334,            0.071375,             0.05457,            0.048727,          0.00063361,          0.00063361,            0.037134
                   6,            0.069507,            0.050473,             0.05026,             0.10907,             0.51467,             0.14827,            0.037548,            0.063333,            0.049999,            0.046742,          0.00073866,          0.00073866,            0.026639
                   7,            0.063658,            0.047438,            0.048763,             0.30551,             0.25969,             0.18799,            0.058957,            0.056399,            0.047648,            0.045637,          0.00084337,          0.00084337,            0.016143
                   8,            0.060379,            0.043562,            0.048306,             0.18935,             0.32578,             0.23622,            0.083432,            0.052571,            0.046031,            0.044878,          0.00094766,          0.00094766,           0.0056477
                   9,            0.057263,            0.043559,            0.047719,              0.1616,             0.73448,             0.27766,             0.12348,            0.046584,            0.046549,            0.043992,          0.00099291,          0.00099291,          0.00099291
                  10,            0.052829,            0.041467,            0.047495,             0.18396,              0.7574,             0.33349,             0.15267,            0.044371,             0.04283,             0.04358,          0.00099291,          0.00099291,          0.00099291
                  11,            0.050528,            0.040655,            0.046826,             0.20337,             0.72968,             0.35362,             0.18224,            0.042212,             0.04201,            0.043164,          0.00099126,          0.00099126,          0.00099126
                  12,            0.046707,            0.040686,            0.046639,             0.19561,              0.7699,             0.35756,             0.17848,            0.041683,            0.040572,            0.043008,          0.00098943,          0.00098943,          0.00098943
                  13,            0.045748,            0.039806,            0.046424,             0.20361,             0.78854,             0.36328,             0.19841,            0.038058,             0.04096,            0.042474,          0.00098743,          0.00098743,          0.00098743
                  14,            0.043992,            0.039538,            0.046166,             0.20696,             0.80132,             0.37431,             0.18808,            0.040077,            0.038802,            0.042261,          0.00098527,          0.00098527,          0.00098527
                  15,            0.043711,            0.038556,            0.045871,             0.21391,              0.8201,             0.39365,             0.22154,            0.036843,            0.037861,            0.041854,          0.00098293,          0.00098293,          0.00098293
                  16,            0.041975,            0.038691,            0.045507,             0.21669,             0.80904,             0.38522,             0.21038,            0.038004,            0.038348,            0.041971,          0.00098042,          0.00098042,          0.00098042
                  17,            0.040354,             0.03718,            0.045191,             0.22224,             0.83145,             0.40016,             0.22604,            0.036352,            0.037174,            0.041593,          0.00097775,          0.00097775,          0.00097775
                  18,            0.038964,            0.036617,            0.044863,              0.2297,             0.82926,             0.42717,             0.22774,            0.035985,            0.036552,            0.041138,          0.00097491,          0.00097491,          0.00097491
                  19,            0.039961,            0.036942,            0.044511,             0.23771,             0.81048,             0.42195,              0.2512,            0.033193,            0.036102,            0.040832,          0.00097191,          0.00097191,          0.00097191
                  20,            0.037901,             0.03662,            0.043959,             0.23594,             0.84229,             0.42652,             0.25854,            0.032908,            0.035595,            0.040726,          0.00096875,          0.00096875,          0.00096875
                  21,            0.038387,            0.037573,            0.043451,             0.23306,             0.86493,              0.4328,             0.25871,            0.032521,            0.035117,            0.040547,          0.00096542,          0.00096542,          0.00096542
                  22,             0.03729,            0.036003,            0.043398,             0.25003,             0.84773,             0.44071,             0.26225,            0.032625,            0.035684,            0.039952,          0.00096193,          0.00096193,          0.00096193
                  23,            0.036669,            0.036158,            0.042513,             0.24908,             0.85006,             0.43922,              0.2774,            0.031509,            0.034626,            0.039725,          0.00095828,          0.00095828,          0.00095828
                  24,            0.035533,             0.03537,            0.042122,             0.25789,             0.81883,             0.45185,             0.28571,            0.031537,            0.034448,            0.039251,          0.00095448,          0.00095448,          0.00095448
                  25,            0.036554,            0.034572,            0.041574,             0.26139,             0.81792,             0.46393,             0.28238,            0.033187,            0.034161,            0.038837,          0.00095052,          0.00095052,          0.00095052
                  26,            0.035828,            0.035101,            0.040839,             0.26994,             0.84016,             0.48127,              0.2991,            0.031612,            0.034985,            0.038317,          0.00094641,          0.00094641,          0.00094641
                  27,            0.035775,             0.03544,            0.040058,             0.26923,             0.84388,             0.49722,             0.29949,             0.03154,            0.033471,            0.037897,          0.00094215,          0.00094215,          0.00094215
                  28,            0.034905,            0.034971,            0.039685,             0.28204,             0.82064,             0.49831,             0.31424,            0.030312,             0.03361,            0.037628,          0.00093773,          0.00093773,          0.00093773
                  29,            0.035579,             0.03472,            0.039145,             0.28584,              0.8259,             0.51271,              0.3065,             0.03199,            0.033759,            0.037085,          0.00093317,          0.00093317,          0.00093317
                  30,            0.034863,            0.034288,            0.038688,             0.30408,             0.79895,             0.51797,             0.33916,            0.029972,            0.033309,            0.036477,          0.00092846,          0.00092846,          0.00092846
                  31,            0.035674,            0.033778,            0.038155,             0.29533,              0.8139,             0.52325,               0.338,            0.030093,            0.033242,             0.03615,          0.00092361,          0.00092361,          0.00092361
                  32,            0.034433,            0.033698,            0.037527,             0.30356,             0.84649,             0.52323,             0.33721,            0.030337,            0.033143,            0.036043,          0.00091861,          0.00091861,          0.00091861
                  33,            0.034451,            0.033209,            0.037191,             0.30301,             0.83023,              0.5282,             0.32608,            0.030812,            0.033115,            0.035773,          0.00091348,          0.00091348,          0.00091348
                  34,             0.03394,            0.032778,            0.036673,             0.30639,             0.81828,             0.54257,             0.35993,            0.029488,            0.032401,            0.035168,          0.00090821,          0.00090821,          0.00090821
                  35,            0.034014,            0.033695,            0.036397,             0.31146,             0.82354,             0.55447,             0.36434,            0.029576,            0.032308,             0.03472,           0.0009028,           0.0009028,           0.0009028
                  36,            0.033321,            0.032779,            0.036141,             0.30702,              0.8695,             0.55036,             0.34783,            0.030045,            0.032373,            0.034581,          0.00089726,          0.00089726,          0.00089726
                  37,            0.033272,            0.033058,            0.035898,             0.31544,              0.8058,              0.5567,              0.3654,            0.029503,             0.03204,            0.034226,          0.00089159,          0.00089159,          0.00089159
                  38,            0.032836,            0.033084,            0.035161,             0.32751,             0.80489,             0.55377,             0.36235,            0.030465,            0.032109,            0.034068,          0.00088579,          0.00088579,          0.00088579
                  39,             0.03277,            0.032796,            0.034959,             0.32804,             0.82277,             0.56033,             0.37365,            0.029732,            0.031884,            0.033464,          0.00087987,          0.00087987,          0.00087987
                  40,            0.032823,            0.032504,            0.034745,             0.32428,             0.83051,             0.56279,             0.38384,            0.028548,             0.03195,            0.033192,          0.00087382,          0.00087382,          0.00087382
                  41,            0.032696,            0.032589,            0.034299,             0.31645,             0.84212,             0.56492,             0.36912,            0.029818,            0.031381,            0.033052,          0.00086765,          0.00086765,          0.00086765
                  42,            0.032777,            0.032832,            0.034146,             0.33499,             0.83041,             0.57484,             0.38796,            0.028595,            0.031303,             0.03324,          0.00086137,          0.00086137,          0.00086137
                  43,            0.031979,            0.032469,            0.033803,              0.3191,             0.82537,             0.57393,             0.39006,            0.028579,            0.031232,              0.0329,          0.00085497,          0.00085497,          0.00085497
                  44,            0.032148,            0.032499,            0.033335,             0.33791,             0.83804,             0.57724,              0.3914,             0.02858,            0.031608,             0.03253,          0.00084846,          0.00084846,          0.00084846
                  45,            0.031998,            0.031545,            0.033316,             0.33975,             0.83848,             0.59204,             0.40343,            0.028471,            0.031434,             0.03206,          0.00084184,          0.00084184,          0.00084184
                  46,            0.031232,            0.031223,            0.032867,             0.35592,              0.8412,             0.58704,             0.40305,            0.028057,            0.030764,            0.033033,          0.00083511,          0.00083511,          0.00083511
                  47,            0.031712,            0.031682,            0.032588,             0.34626,             0.85027,             0.60802,             0.41053,            0.028872,            0.030916,            0.031329,          0.00082829,          0.00082829,          0.00082829
                  48,            0.031637,            0.031908,            0.032369,             0.35999,             0.81497,             0.60862,             0.40858,            0.028767,            0.030638,            0.031158,          0.00082136,          0.00082136,          0.00082136
                  49,            0.030943,            0.031097,            0.032302,             0.34893,             0.81711,             0.60859,             0.42026,            0.028214,            0.030805,            0.031297,          0.00081433,          0.00081433,          0.00081433
                  50,            0.031585,             0.03174,            0.031731,             0.36281,             0.82296,             0.61837,             0.42437,            0.028184,            0.030758,            0.030528,          0.00080721,          0.00080721,          0.00080721
                  51,            0.030729,            0.031213,            0.031823,             0.36322,             0.84636,             0.61867,             0.43091,            0.027373,            0.030247,            0.031003,              0.0008,              0.0008,              0.0008
                  52,            0.030647,            0.031319,            0.031347,             0.36523,             0.83524,             0.63508,             0.43453,            0.027737,            0.030353,            0.030098,           0.0007927,           0.0007927,           0.0007927
                  53,            0.030609,               0.031,            0.031295,             0.37896,             0.83773,              0.6312,             0.43906,             0.02767,            0.030299,            0.029843,          0.00078532,          0.00078532,          0.00078532
                  54,            0.030362,            0.030641,            0.031093,             0.38677,             0.83798,             0.63285,             0.44427,            0.027466,             0.03047,            0.029828,          0.00077785,          0.00077785,          0.00077785
